German,English
Ich,I
ist,is
nicht,not
Sie,she
du,you
das,that
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,weather
Du,You
mir,to me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,Has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,US
sich,yourself
Die,the
nur,only
einen,a
Nein,no
dem,to the
ihn,him
auch,even
hast,have
sein,be
ihr,her
da,there
aus,the end
kann,can
aber,but
Aber,but
schon,beautiful
wenn,if
wird,will
um,around
Wie,how
als,as
bist,are you
im,in the
mal,times
doch,indeed
gut,Good
meine,my
jetzt,now
weiß,White
Wenn,When
werden,will
Der,the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,some
alles,everything
muss,got to
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,have
machen,do
vor,in front
Mann,man
ihm,him
einem,a
tun,do
zum,to the
können,be able
sagen,say
werde,become
denn,then
Ist,is
Ein,A
Warum,why
einer,a
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,above
müssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,Time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,target
Da,There
hatte,would have
Hier,here
wissen,to know
bitte,You're welcome
viel,a lot of
Dann,then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,come
Wer,who
zurück,back
wurde,became
In,In
wollte,wanted to
Frau,woman
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,not
Gott,God
Leute,People
kannst,can
heute,today
meinen,think
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,secure
ganz,all
Jetzt,now
Mein,my
Mr,Mr
also,so
zur,to the
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,power
waren,were
bis,until
Vielleicht,Maybe
könnte,could
Eine,One
Bitte,You're welcome
weg,away
seine,his
lassen,permit
Vater,father
gesehen,seen
Nun,so
gerade,just
Alles,All
glaube,believe
Tag,Day
ab,away
Geld,money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,your
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like
wirst,become
gehört,belongs
weißt,whisper
Keine,No
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,on
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,This
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,away
selbst,even
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,I agree
gar,even
sagt,says
Welt,world
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,further
Leid,Sorrow
gleich,same
wer,who
Man,One
ohne,without
Menschen,People
deinen,yours
leid,suffering
Wieso,how so
dort,there
Als,as
Hause,Home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
Hör,Hear
machst,make
Freund,friend
richtig,correct
Angst,fear
Bist,Are you
Tut,Does
Mit,with
viele,lots
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,entire
andere,other
getan,did
okay,OK
rein,pure
Diese,These
Moment,moment
bleiben,remain
brauchen,need
Weil,because
Kinder,children
unter,under
Arbeit,work
Für,For
Problem,problem
dafür,Therefore
Herr,Mister
Haben,To have
wegen,because
geht's,Let's
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Your
ne,ne
gegen,against
Weißt,Whisper
Sag,say
schnell,fast
nun,well
eines,one
brauche,need
Abend,evening
hatten,had
Jahre,years
Mach,Make up
Bruder,Brothers
Sache,matter
hören,Listen
komm,come
Sohn,son
seit,since
Morgen,morning
drei,three
steht,stands
Scheiße,crap
mag,like
sei,may be
unser,our
konnte,could
habt,have
Oder,or
einmal,once
heißt,called
OK,OK
Willst,Want
Kopf,head
Hilfe,help
Familie,family
Geh,Go
Baby,infant
Dich,You
Sind,Are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,morning
sprechen,to speak
Mir,To me
sofort,right away
Kann,Can
Hat,Has
Jahren,Years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,wicked
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,end
He,Head
Dinge,things
Namen,Name
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,nothing
Wirklich,For real
bekommen,receive
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks to
Freunde,friends
Jungs,guys
halten,keep
warten,waiting
Glück,luck
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,come
Dir,To you
mache,make
Von,Of
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Kind
gern,gladly
Liebe,love
jeden,every
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,make up
Gib,Give
vorbei,past
verstehe,understand
danke,Thanks
drin,in it
Im,in the
Name,Surname
ganzen,entire
Musik,music
würden,would
Tür,door
verrückt,insane
solltest,ward
denken,think
Noch,still
dran,your turn
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damned
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,very
Hand,hand
darf,allowed
Dieser,This
Frauen,women
Euch,To you
Idee,idea
runter,down
Macht,Makes
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,have
egal,no matter
arbeiten,work
spät,late
stehen,to stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,about
essen,eat
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,side
wenig,little
ruhig,calm
Frage,ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,eat
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,Comes
Einen,A
ging,went
Jahr,year
braucht,needs
fast,nearly
neue,new
geh,go
ziemlich,pretty much
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,death
Ort,location
Chance,chance
bedeutet,means
War,Was
sag,say
sagst,tell
fragen,to ask
letzten,last
sogar,even
ersten,first
Sachen,stuff
Wahrheit,truth
einzige,only
kurz,short
denen,to them
Kommen,Come
Spaß,fun
Nach,After
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,certainly
treffen,meet
niemand,nobody
Woche,week
Entschuldigung,excuse
Sorgen,Care for
warte,wait
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,to understand
hoffe,hope
Ah,Ah
Sei,May be
Zimmer,room
hoch,high
unserer,our
Tage,Day
Teil,part
Wann,When
suchen,Looking for
verlassen,leaving
zeigen,demonstrate
wollten,wanted to
lässt,leaves
Wort,word
eins,one
zwischen,in between
Woher,Where from
Schatz,treasure
Wissen,Knowledge
versuchen,to attempt
Können,Be able
Kannst,Can
nett,kind
Zu,to
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Have
weiss,White
erste,first
läuft,running
kommst,come
Freundin,girlfriend
Mensch,person
beiden,both
Ding,thing
niemals,No way
endlich,at last
Nimm,take
muß,got to
gehst,go
Heute,today
denkst,think
Herz,heart
Waffe,weapon
Soll,Should
tust,tu
Dollar,dollar
nehme,take
Schau,show
holen,to fetch
oft,often
drauf,on it
anderes,other
Niemand,No one
unten,below
Wagen,dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,MRS
hättest,had
allen,all
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,thought
erzählen,tell
bleibt,remains
Auch,Even
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,Law
bringt,brings
Bett,bed
Lassen,Permit
Eltern,parents
gefällt,pleases
Schuld,fault
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,Yours
wären,be
Fehler,error
scheint,seems
Lasst,Leaves
gegeben,given
An,At
hör,hear
glücklich,happy
verdammt,Damn it
alt,old
Platz,space
darum,therefore
Vielen,Many
falsch,not correct
unseren,Our
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,worries
Vor,In front
fest,fixed
bereits,already
alleine,alone
Denn,Then
Zwei,Two
Fragen,to ask
möglich,possible
irgendwie,somehow
Papa,father
lernen,learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,Is correct
Menge,amount
keiner,none
brauchst,need
Typen,Types
Dass,That
Stunde,hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,become
Telefon,phone
Darf,Allowed
Feuer,Fire
Wollen,Want
Bin,Am
Alter,age
Captain,Captain
Aus,the end
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,Roger that
wann,when
alten,old
gibt's,there's
sondern,but
guten,good
zwar,that is
eigenen,own
New,New
Körper,body
hört,hearing
Zum,To the
gebe,giving
Kumpel,Dude
Hund,dog
nochmal,once again
hab's,have it
früh,early
Hören,Listen
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,air
Jemand,Someone
dürfen,to be allowed to
Meister,master
Erde,Earth
Seit,Since
Sicher,For sure
Hört,Hearing
Zukunft,future
kaum,barely
funktioniert,functions
voll,fully
Bleib,Stay
reicht,suffices
weh,sore
stellen,place
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,lose
Wochen,Weekly
Damit,In order to
Stück,piece
lieben,love
allem,all
getroffen,met
äh,Ah
Am,At the
geschafft,Done
tue,do
gefallen,like
Tja,Well
Boss,boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,fun
Licht,light
gebracht,brought
nennen,to name
Folge,consequence
Gefühl,feeling
völlig,fully
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,Correct
wieso,how so
Leuten,People
Buch,a book
laufen,to run
spielt,play
früher,earlier
Sein,being
krank,Sick
gegangen,gone
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,heaven
froh,joyful
leicht,light
direkt,direct
langsam,slow
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,A lot of
beste,best
welche,Which
genommen,taken
Arzt,physician
unserem,ours
Idiot,idiot
Machen,Do
glaubst,believe
jede,every
Ohne,Without
groß,big
hattest,had
Äh,Ah
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,Days
nächste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
könnt,can
hält,hold
Team,team
Verstanden,Roger that
kämpfen,battle
heiraten,to marry
könntest,could
Wow,Wow
Etwas,Some
Straße,Street
Mist,Damn
König,king
redest,talk
kleines,small
lebt,lives
erklären,explain
worden,has been
Millionen,millions
Wiedersehen,Reunion
Onkel,uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,things
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
ändern,to change
Kampf,struggle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,floor
Wohin,Where
machte,bother
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,hurt
Habt,Have
Nachricht,news
Willkommen,Welcome
vielen,many
hart,hard
lasse,laser
total,total
Gefängnis,prison
außer,apart from
Sicherheit,security
Schnell,Fast
wem,whom
ehrlich,Honestly
interessiert,Interested
Sex,sex
sagten,told
ziehen,draw
Welche,which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,Great
Bild,image
stark,strong
Dies,this
Eure,Your
zehn,ten
Sinn,sense
vorstellen,introduce
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call up
sechs,six
Arschloch,asshole
sollst,shorter
gestorben,died
Tages,Day
war's,It was
verschwinden,disappear
Kraft,power
gesprochen,spoken
heraus,out
genauso,just like that
wärst,be
Eins,one
damals,back then
heißen,mean
Liebling,favorite
wahrscheinlich,probably
deshalb,for this reason
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,excuse me
Vergiss,Forget
rede,speech
führen,to lead
Bewegung,Move
höre,hear
Sonst,Otherwise
Geschäft,business
werdet,become
konnten,could
wartet,wait
Raus,Out